player_name,college
Chris Mullin,St. John's (NY)
Chris Morris,Auburn
Chris Mills,Arizona
Chris Jent,Ohio State
Chris Gatling,Old Dominion
Chris Dudley,Yale
Chris Childs,Boise State
Chris Carr,Southern Illinois
Cherokee Parks,Duke
Charlie Ward,Florida State
Charles Smith,Pittsburgh
Charles Oakley,Virginia Union
Charles Jones,Albany State (GA)
Charles Barkley,Auburn
Cedric Ceballos,Cal State-Fullerton
Carlos Rogers,Tennessee State
Carl Thomas,Eastern Michigan
Carl Herrera,Houston
Calbert Cheaney,Indiana
Byron Scott,Arizona State
Bryon Russell,Long Beach State
Chris Whitney,Clemson
Christian Laettner,Duke
Chucky Brown,North Carolina State
Clar. Weatherspoon,Southern Mississippi
David Wingate,Georgetown
David Wesley,Baylor
David Vaughn,Memphis
David Robinson,Navy
Darvin Ham,Texas Tech
Darrin Hancock,Kansas
Darrick Martin,UCLA
Darrell Armstrong,Fayetteville State
Danny Manning,Kansas
Danny Ferry,Duke
Dana Barros,Boston College
Bryant Stith,Virginia
Dan Schayes,Syracuse
Damon Stoudamire,Arizona
Dale Ellis,Tennessee
Dale Davis,Clemson
Cuonzo Martin,Purdue
Craig Ehlo,Washington State
Cory Alexander,Virginia
Corliss Williamson,Arkansas
Corie Blount,Cincinnati
Clyde Drexler,Houston
Clifford Rozier,Louisville
Clifford Robinson,Connecticut
Dan Majerle,Central Michigan
Bryant Reeves,Oklahoma State
Bruce Bowen,Cal State-Fullerton
Brooks Thompson,Oklahoma State
Antonio Davis,Texas-El Paso
Antoine Walker,Kentucky
Antoine Carr,Wichita State
Anthony Peeler,Missouri
Anthony Miller,Michigan State
Anthony Mason,Tennessee State
Anthony Goldwire,Houston
Anfernee Hardaway,Memphis
Andrew Lang,Arkansas
Andrew DeClercq,Florida
Amal McCaskill,Marquette
Antonio Harvey,Pfeiffer
Alton Lister,Arizona State
Allen Iverson,Georgetown
Allan Houston,Tennessee
Aleksandar Djordjevic,None
Alan Henderson,Indiana
Adrian Caldwell,Lamar
Adam Keefe,Stanford
Acie Earl,Iowa
Aaron Williams,Xavier
Aaron McKie,Temple
Jerome Allen,Pennsylvania
A.C. Green,Oregon State
Alonzo Mourning,Georgetown
David Wood,Nevada-Reno
Antonio Lang,Duke
Armen Gilliam,Nevada-Las Vegas
Brian Shaw,California-Santa Barbara
Brian Grant,Xavier
Brian Evans,Indiana
Brett Szabo,Augustana (SD)
Brent Scott,Rice
Brent Price,Oklahoma
Brent Barry,Oregon State
Brad Lohaus,Iowa
Bobby Phills,Southern
Bobby Hurley,Duke
Bob Sura,Florida State
Antonio McDyess,Alabama
Bo Outlaw,Houston
Bison Dele,Arizona
Bimbo Coles,Virginia Tech
Billy Owens,Syracuse
Bill Wennington,St. John's (NY)
Benoit Benjamin,Creighton
Ben Wallace,Virginia Union
Ben Davis,Arizona
B.J. Armstrong,Iowa
Avery Johnson,Southern
Ashraf Amaya,Southern Illinois
Arvydas Sabonis,None
Blue Edwards,East Carolina
Dean Garrett,Indiana
Buck Williams,Maryland
Dell Curry,Virginia Tech
Hakeem Olajuwon,Houston
Greg Ostertag,Kansas
Greg Minor,Louisville
Greg Graham,Indiana
Greg Foster,Texas-El Paso
Greg Dreiling,Kansas
Greg Anthony,Nevada-Las Vegas
Greg Anderson,Houston
Grant Long,Eastern Michigan
Grant Hill,Duke
Glenn Robinson,Purdue
Harvey Grant,Oklahoma
Glen Rice,Michigan
Gerald Wilkins,Tennessee-Chattanooga
George Zidek,UCLA
George McCloud,Florida State
George Lynch,North Carolina
Gaylon Nickerson,Northwestern Oklahoma
Gary Trent,Ohio
Gary Payton,Oregon State
Gary Grant,Michigan
Fred Roberts,Brigham Young
Fred Hoiberg,Iowa State
Frankie King,Western Carolina
Gheorghe Muresan,None
Frank Brickowski,Penn State
Haywoode Workman,Oral Roberts
Herb Williams,Ohio State
Jeff McInnis,North Carolina
Dee Brown,Jacksonville
Jeff Grayer,Iowa State
Jayson Williams,St. John's (NY)
Jason Sasser,Texas Tech
Jason Kidd,California
Jason Caffey,Alabama
Jaren Jackson,Georgetown
Jamie Watson,South Carolina
Jamie Feick,Michigan State
James Scott,St. John's (NY)
Henry James,St. Mary's (TX)
James Robinson,Alabama
Jalen Rose,Michigan
Jack Haley,UCLA
Ivano Newbill,Georgia Tech
Isaiah Rider,Nevada-Las Vegas
Ike Austin,Arizona State
Hubert Davis,North Carolina
Howard Eisley,Boston College
Hot Rod Williams,Tulane
Horacio Llamas,Grand Canyon
Horace Grant,Clemson
Hersey Hawkins,Bradley
Jamal Mashburn,Kentucky
Felton Spencer,Louisville
Jeff Hornacek,Iowa State
Ervin Johnson,New Orleans
Donyell Marshall,Connecticut
Dontonio Wingfield,Cincinnati
Donny Marshall,Connecticut
Donnie Boyce,Colorado
Donald Whiteside,Northern Illinois
Donald Royal,Notre Dame
Don Reid,Georgetown
Don MacLean,UCLA
Dominique Wilkins,Georgia
Dino Radja,None
Dikembe Mutombo,Georgetown
Doug Christie,Pepperdine
Dickey Simpkins,Providence
Devin Gray,Clemson
Detlef Schrempf,Washington
Derrick McKey,Alabama
Derrick Coleman,Syracuse
Derrick Alston,Duquesne
Derek Strong,Xavier
Derek Harper,Illinois
Derek Fisher,Arkansas-Little Rock
Dennis Scott,Georgia Tech
Dennis Rodman,Southeastern Oklahoma State
Evric Gray,Nevada-Las Vegas
Dexter Boney,Nevada-Las Vegas
Doug Overton,La Salle
Dell Demps,Pacific
Duane Causwell,Temple
Doug West,Villanova
Erick Strickland,Nebraska
Erick Dampier,Mississippi State
Eric Williams,Providence
Eric Snow,Michigan State
Eric Piatkowski,Nebraska
Eric Murdock,Providence
Eric Mobley,Pittsburgh
Eric Leckner,Wyoming
Ennis Whatley,Alabama
Emanual Davis,Delaware State
Eric Montross,North Carolina
Elmer Bennett,Notre Dame
Duane Ferrell,Georgia Tech
Elmore Spencer,Nevada-Las Vegas
Earl Cureton,Detroit Mercy
Ed O'Bannon,UCLA
Ed Pinckney,Villanova
Dwayne Schintzius,Florida
Eddie Jones,Temple
Elden Campbell,Clemson
Eldridge Recasner,Washington
Elliot Perry,Memphis
Eddie Johnson,Illinois
Ed Gray,California
Dontonio Wingfield,Cincinnati
Donyell Marshall,Connecticut
Doug Christie,Pepperdine
Doug Overton,La Salle
Doug West,Villanova
Drew Barry,Georgia Tech
Duane Causwell,Temple
Duane Ferrell,Georgia Tech
Ed Stokes,Arizona
Eric Washington,Alabama
Eddie Jones,Temple
Elden Campbell,Clemson
Eldridge Recasner,Washington
Elliot Perry,Memphis
Emanual Davis,Delaware State
Eric Montross,North Carolina
Eric Murdock,Providence
Eric Piatkowski,Nebraska
Eric Riley,Michigan
Eric Snow,Michigan State
Dontae' Jones,Mississippi State
Eric Williams,Providence
Eddie Johnson,Illinois
Donald Whiteside,Northern Illinois
Derek Fisher,Arkansas-Little Rock
Don Reid,Georgetown
Darrick Martin,UCLA
Erick Dampier,Mississippi State
Darvin Ham,Texas Tech
David Benoit,Alabama
David Robinson,Navy
David Vaughn,Memphis
David Wesley,Baylor
David Wingate,Georgetown
DeJuan Wheat,Louisville
Dean Garrett,Indiana
Dee Brown,Jacksonville
Donald Royal,Notre Dame
Dell Curry,Virginia Tech
Dennis Scott,Georgia Tech
Derek Anderson,Kentucky
Derek Grimm,Missouri
Derek Harper,Illinois
Derek Strong,Xavier
Derrick Coleman,Syracuse
Derrick McKey,Alabama
Detlef Schrempf,Washington
Dickey Simpkins,Providence
Dikembe Mutombo,Georgetown
Don MacLean,UCLA
Dennis Rodman,Southeastern Oklahoma State
Erick Strickland,Nebraska
Harvey Grant,Oklahoma
Etdrick Bohannon,Auburn-Montgomery
Hot Rod Williams,Tulane
Howard Eisley,Boston College
Hubert Davis,North Carolina
Ike Austin,Arizona State
Isaiah Rider,Nevada-Las Vegas
Ivano Newbill,Georgia Tech
J.R. Reid,North Carolina
Jack Haley,UCLA
Jacque Vaughn,Kansas
Jalen Rose,Michigan
Jamal Mashburn,Kentucky
James Collins,Florida State
James Cotton,Long Beach State
James Robinson,Alabama
Jamie Feick,Michigan State
Jaren Jackson,Georgetown
Jason Caffey,Alabama
Jason Kidd,California
Jason Lawson,Villanova
Jayson Williams,St. John's (NY)
Jeff Grayer,Iowa State
Jeff Hornacek,Iowa State
Darrell Armstrong,Fayetteville State
Horacio Llamas,Grand Canyon
Horace Grant,Clemson
Hersey Hawkins,Bradley
Herb Williams,Ohio State
Felton Spencer,Louisville
Fred Hoiberg,Iowa State
Gary Grant,Michigan
Gary Payton,Oregon State
Jeff Nordgaard,Wisconsin-Green Bay
George Lynch,North Carolina
George McCloud,Florida State
George Zidek,UCLA
Gerald Madkins,UCLA
Gerald Wilkins,Tennessee-Chattanooga
Glen Rice,Michigan
Ervin Johnson,New Orleans
Glenn Robinson,Purdue
Grant Hill,Duke
Grant Long,Eastern Michigan
Greg Anderson,Houston
Greg Anthony,Nevada-Las Vegas
Greg Foster,Texas-El Paso
Greg Graham,Indiana
Greg Minor,Louisville
Greg Ostertag,Kansas
Hakeem Olajuwon,Houston
Harold Ellis,Morehouse
Henry James,St. Mary's (TX)
God Shammgod,Providence
Danny Manning,Kansas
A.C. Green,Oregon State
Dana Barros,Boston College
Armen Gilliam,Nevada-Las Vegas
Arvydas Sabonis,None
Austin Croshere,Providence
Avery Johnson,Southern
B.J. Armstrong,Iowa
Ben Davis,Arizona
Ben Wallace,Virginia Union
Benoit Benjamin,Creighton
Bill Curley,Boston College
Bill Wennington,St. John's (NY)
Billy Owens,Syracuse
Bimbo Coles,Virginia Tech
Bison Dele,Arizona
Blue Edwards,East Carolina
Bo Outlaw,Houston
Bob McCann,Morehead State
Bob Sura,Florida State
Bobby Hurley,Duke
Bobby Jackson,Minnesota
Bobby Phills,Southern
Brad Lohaus,Iowa
Brandon Williams,Davidson
Brent Barry,Oregon State
Antonio McDyess,Alabama
Antonio Lang,Duke
Antonio Davis,Texas-El Paso
Antonio Daniels,Bowling Green
Jerald Honeycutt,Tulane
Aaron McKie,Temple
Aaron Williams,Xavier
Adam Keefe,Stanford
Adonal Foyle,Colgate
Adrian Caldwell,Lamar
Alan Henderson,Indiana
Allan Houston,Tennessee
Allen Iverson,Georgetown
Alonzo Mourning,Georgetown
Alton Lister,Arizona State
Brent Price,Oklahoma
Alvin Williams,Villanova
Andrew Lang,Arkansas
Anfernee Hardaway,Memphis
Anthony Bowie,Oklahoma
Anthony Goldwire,Houston
Anthony Johnson,College of Charleston
Anthony Mason,Tennessee State
Anthony Miller,Michigan State
Anthony Parker,Bradley
Anthony Peeler,Missouri
Antoine Carr,Wichita State
Antoine Walker,Kentucky
Andrew DeClercq,Florida
Brevin Knight,Stanford
Brian Evans,Indiana
Brian Grant,Xavier
Chris Garner,Memphis
Chris Gatling,Old Dominion
Chris Mills,Arizona
Chris Morris,Auburn
Chris Mullin,St. John's (NY)
Chris Robinson,Western Kentucky
Chris Webber,Michigan
Chris Whitney,Clemson
Christian Laettner,Duke
Chuck Person,Auburn
Chucky Brown,North Carolina State
