player_name,college
Kevin Garnett,None
Kerry Kittles,Villanova
Keon Clark,Nevada-Las Vegas
Kenny Thomas,New Mexico
Kenny Anderson,Georgia Tech
Kendrick Perkins,None
Kendall Gill,Illinois
Leon Smith,None
Matt Harpring,Georgia Tech
Lindsey Hunter,Jackson State
Lonny Baxter,Maryland
Matt Barnes,UCLA
Mateen Cleaves,Michigan State
Marquis Daniels,Auburn
Marko Jaric,None
Mark Pope,Kentucky
Mark Madsen,Stanford
Mark Jackson,St. John's (NY)
Mark Blount,Pittsburgh
Marcus Haislip,Tennessee
Marcus Fizer,Iowa State
Marcus Camby,Massachusetts
Marcus Banks,Nevada-Las Vegas
Marc Jackson,Temple
Manu Ginobili,None
Mamadou N'diaye,Auburn
Malik Rose,Drexel
Malik Allen,Villanova
Maciej Lampe,None
Luke Walton,Arizona
Luke Ridnour,Oregon
Lucious Harris,Long Beach State
Lorenzen Wright,Memphis
Loren Woods,Arizona
Linton Johnson,Tulane
Rashard Lewis,None
Rasheed Wallace,North Carolina
Rasho Nesterovic,None
Scottie Pippen,Central Arkansas
Sean Lampley,California
Sean Rooks,Arizona
Shammond Williams,North Carolina
Shandon Anderson,Georgia
Shane Battier,Duke
Shane Heal,None
Shaquille O'Neal,Louisiana State
Shareef Abdur-Rahim,California
Shawn Bradley,Brigham Young
Shawn Marion,Nevada-Las Vegas
Slava Medvedenko,None
Slavko Vranes,None
Speedy Claxton,Hofstra
Stacey Augmon,Nevada-Las Vegas
Stephen Jackson,Butler Community College
Stephon Marbury,Georgia Tech
Steve Blake,Maryland
Steve Francis,Maryland
Steve Nash,Santa Clara
Steven Hunter,DePaul
Steven Smith,Michigan State
Stromile Swift,Louisiana State
Scott Williams,North Carolina
T.J. Ford,Texas
Scott Padgett,Kentucky
Sasha Pavlovic,None
Richie Frahm,Gonzaga
Rick Brunson,Temple
Rick Fox,North Carolina
Ricky Davis,Iowa
Robert Archibald,Illinois
Robert Horry,Alabama
Robert Pack,Southern California
Robert Traylor,Michigan
Rod Strickland,DePaul
Rodney Buford,Creighton
Rodney Rogers,Wake Forest
Rodney White,North Carolina-Charlotte
Roger Mason Jr.,Virginia
Ron Mercer,Kentucky
Ronald Dupree,Louisiana State
Ruben Boumtje-Boumtje,Georgetown
Ruben Patterson,Cincinnati
Rusty LaRue,Wake Forest
Ryan Bowen,Iowa
Ryan Humphrey,Notre Dame
Sam Cassell,Florida State
Samaki Walker,Louisville
Samuel Dalembert,Seton Hall
Scot Pollard,Kansas
Tamar Slay,Marshall
Tayshaun Prince,Kentucky
Theo Ratliff,Wyoming
Vlade Divac,None
Vladimir Radmanovic,None
Vladimir Stepania,None
Voshon Lenard,Minnesota
Wally Szczerbiak,Miami (OH)
Walter McCarty,Kentucky
Wang Zhi-zhi,None
Wesley Person,Auburn
Willie Green,Detroit Mercy
Yao Ming,None
Zach Randolph,Michigan State
Zarko Cabarkapa,None
Zaza Pachulia,None
Zeljko Rebraca,None
Zendon Hamilton,St. John's (NY)
Zoran Planinic,None
Zydrunas Ilgauskas,None
Reggie Miller,UCLA
Reggie Evans,Iowa
Reece Gaines,Louisville
Ray Allen,Connecticut
Raul Lopez,None
Rasual Butler,La Salle
Vitaly Potapenko,Wright State
Vince Carter,North Carolina
Vin Baker,Hartford
Udonis Haslem,Florida
Theron Smith,Ball State
Tierre Brown,McNeese State
Tim Duncan,Wake Forest
Tim Thomas,Villanova
Tom Gugliotta,North Carolina State
Toni Kukoc,None
Tony Battie,Texas Tech
Tony Delk,Kentucky
Tony Massenburg,Maryland
Tony Parker,None
Torraye Braggs,Xavier
Kelvin Cato,Iowa State
Tracy McGrady,None
Travis Best,Georgia Tech
Travis Hansen,Brigham Young
Travis Outlaw,None
Tremaine Fowlkes,Fresno State
Trenton Hassell,Austin Peay
Troy Bell,Boston College
Troy Hudson,Southern Illinois
Troy Murphy,Notre Dame
Tyrone Hill,Xavier
Tyronn Lue,Nebraska
Tyson Chandler,None
Tracy Murray,UCLA
Keith Van Horn,Utah
Keith McLeod,Bowling Green
Keith Bogans,Kentucky
Curtis Borchardt,Stanford
Corliss Williamson,Arkansas
Corie Blount,Cincinnati
Corey Maggette,Duke
Clifford Robinson,Connecticut
Clar. Weatherspoon,Southern Mississippi
Chucky Atkins,South Florida
Christian Laettner,Duke
Chris Wilcox,Maryland
Chris Whitney,Clemson
Chris Webber,Michigan
Chris Mihm,Texas
Chris Kaman,Central Michigan
Chris Jefferies,Fresno State
Chris Crawford,Marquette
Chris Bosh,Georgia Tech
Chris Andersen,Blinn
Cherokee Parks,Duke
Chauncey Billups,Colorado
Charlie Ward,Florida State
Charles Oakley,Virginia Union
Cezary Trybanski,None
Casey Jacobsen,Stanford
Cuttino Mobley,Rhode Island
Caron Butler,Connecticut
Dahntay Jones,Duke
Dale Davis,Clemson
Derrick Coleman,Syracuse
Derek Fisher,Arkansas-Little Rock
Derek Anderson,Kentucky
DerMarr Johnson,Cincinnati
DeShawn Stevenson,None
DeSagana Diop,None
David West,Xavier
David Wesley,Baylor
Darvin Ham,Texas Tech
Darrick Martin,UCLA
Darrell Armstrong,Fayetteville State
Darko Milicic,None
Darius Songaila,Wake Forest
Darius Miles,None
Danny Fortson,Cincinnati
Daniel Santiago,Saint Vincent
Dana Barros,Boston College
Dan Langhi,Vanderbilt
Dan Gadzuric,UCLA
Dan Dickau,Gonzaga
Damone Brown,Syracuse
Damon Stoudamire,Arizona
Damon Jones,Houston
Dajuan Wagner,Memphis
Carmelo Anthony,Syracuse
Carlos Boozer,Duke
Carlos Arroyo,Florida International
Baron Davis,UCLA
Avery Johnson,Southern
Austin Croshere,Providence
Antonio McDyess,Alabama
Antonio Davis,Texas-El Paso
Antonio Daniels,Bowling Green
Antoine Walker,Kentucky
Anthony Peeler,Missouri
Anthony Johnson,College of Charleston
Anthony Goldwire,Houston
Anthony Carter,Hawaii
Antawn Jamison,North Carolina
Ansu Sesay,Mississippi
Anfernee Hardaway,Memphis
Andrew DeClercq,Florida
Andrei Kirilenko,None
Andre Miller,Utah
Amar'e Stoudemire,None
Amal McCaskill,Marquette
Alvin Williams,Villanova
Alton Ford,Houston
Alonzo Mourning,Georgetown
Allen Iverson,Georgetown
Ben Handlogten,Western Michigan
Ben Wallace,Virginia Union
Bimbo Coles,Virginia Tech
Bo Outlaw,Houston
Calvin Booth,Penn State
Calbert Cheaney,Indiana
Bryon Russell,Long Beach State
Bryce Drew,Valparaiso
Bruno Sundov,None
Bruce Bowen,Cal State-Fullerton
Britton Johnsen,Utah
Brian Skinner,Baylor
Brian Scalabrine,Southern California
Brian Grant,Xavier
Brian Cook,Illinois
Derrick Dial,Eastern Michigan
Brian Cardinal,Purdue
Brent Barry,Oregon State
Brendan Haywood,North Carolina
Brandon Hunter,Ohio
Brandon Armstrong,Pepperdine
Brad Miller,Purdue
Bostjan Nachbar,None
Boris Diaw,None
Bonzi Wells,Ball State
Bobby Simmons,DePaul
Bobby Jackson,Minnesota
Bob Sura,Florida State
Brevin Knight,Stanford
Richard Hamilton,Connecticut
Desmond Ferguson,Detroit Mercy
Desmond Penigar,Utah State
Jeff Foster,Texas State
Jason Williams,Florida
Jason Terry,Arizona
Jason Richardson,Michigan State
Jason Kidd,California
Jason Kapono,UCLA
Jason Hart,Syracuse
Jason Collins,Stanford
Jason Collier,Georgia Tech
Jarvis Hayes,Georgia
Jarron Collins,Stanford
Jared Jeffries,Indiana
Jannero Pargo,Arkansas
Jamison Brewer,Auburn
James Posey,Xavier
James Jones,Miami (FL)
Jamal Sampson,California
Jamal Mashburn,Kentucky
Jamal Crawford,Michigan
Jamaal Tinsley,Iowa State
Jamaal Magloire,Kentucky
Jalen Rose,Michigan
Jake Voskuhl,Connecticut
Jeff McInnis,North Carolina
Jake Tsakalidis,None
Jeff Trepagnier,Southern California
Jermaine O'Neal,None
Kedrick Brown,Northwest Florida State
Karl Malone,Louisiana Tech
Kareem Rush,Missouri
Kaniel Dickens,Idaho
Juwan Howard,Michigan
Jumaine Jones,Georgia
Juan Dixon,Maryland
Josh Howard,Wake Forest
Josh Davis,Wyoming
Jonathan Bender,None
Jon Barry,Georgia Tech
John Wallace,Syracuse
John Salmons,Miami (FL)
Joel Przybilla,Minnesota
Joe Smith,Maryland
Joe Johnson,Arkansas
Jiri Welsch,None
Jim Jackson,Ohio State
Jerry Stackhouse,North Carolina
Jerome Williams,Georgetown
Jerome Moiso,UCLA
Jerome James,Florida A&M
Jerome Beasley,North Dakota
Jelani McCoy,UCLA
Jahidi White,Georgetown
Jacque Vaughn,Kansas
Jabari Smith,Louisiana State
Eric Snow,Michigan State
Eric Piatkowski,Nebraska
Elton Brand,Duke
Elden Campbell,Clemson
Eduardo Najera,Oklahoma
Eddy Curry,None
Eddie Robinson,Central Oklahoma
Eddie Jones,Temple
Eddie House,Arizona State
Eddie Gill,Weber State
Earl Watson,UCLA
Earl Boykins,Eastern Michigan
Dwyane Wade,Marquette
Drew Gooden,Kansas
Doug Overton,La Salle
Doug Christie,Pepperdine
Donyell Marshall,Connecticut
Donnell Harvey,Florida
Dirk Nowitzki,None
Dion Glover,Georgia Tech
Dikembe Mutombo,Georgetown
Devin Brown,Texas-San Antonio
Devean George,Augsburg
Eric Williams,Providence
Erick Dampier,Mississippi State
Erick Strickland,Nebraska
Ervin Johnson,New Orleans
J.R. Bremer,St. Bonaventure
Ira Newble,Miami (OH)
Ime Udoka,Portland State
Hubert Davis,North Carolina
Howard Eisley,Boston College
Horace Grant,Clemson
Hiram Fuller,Fresno State
Hedo Turkoglu,None
Greg Ostertag,Kansas
Greg Buckner,Clemson
Gordan Giricek,None
Desmond Mason,Oklahoma State
Glenn Robinson,Purdue
Gilbert Arenas,Arizona
Gerald Wallace,Alabama
George Lynch,North Carolina
Gary Trent,Ohio
Gary Payton,Oregon State
Fred Jones,Oregon
Fred Hoiberg,Iowa State
Frank Williams,Illinois
Francisco Elson,California
Flip Murray,Shaw
Etan Thomas,Syracuse
Glen Rice,Michigan
Kenyon Martin,Cincinnati
Aaron McKie,Temple
Keith Bogans,Kentucky
Michael Ruffin,Tulsa
Michael Redd,Ohio State
Michael Olowokandi,Pacific
Michael Finley,Wisconsin
Michael Doleac,Utah
Michael Curry,Georgia Southern
Michael Bradley,Villanova
Metta World Peace,St. John's (NY)
Melvin Ely,Fresno State
Mehmet Okur,None
Maurice Taylor,Michigan
Michael Stewart,California
Maurice Evans,Texas
Matt Harpring,Georgia Tech
Matt Freije,Vanderbilt
Matt Carroll,Notre Dame
Matt Bonner,Florida
Matt Barnes,UCLA
Mateen Cleaves,Michigan State
Marquis Daniels,Auburn
Marko Jaric,None
Mark Pope,Kentucky
Mark Madsen,Stanford
Mark Jones,Central Florida
Maurice Baker,Oklahoma State
Michael Sweetney,Georgetown
Mickael Pietrus,None
Mike Bibby,Arizona
Paul Shirley,Iowa State
Paul Pierce,Kansas
Pau Gasol,None
Pat Garrity,Notre Dame
Pape Sow,Cal State-Fullerton
P.J. Brown,Louisiana Tech
Othella Harrington,Georgetown
Omar Cook,St. John's (NY)
Obinna Ekezie,Maryland
Nikoloz Tskitishvili,None
Nick Van Exel,Cincinnati
Nick Collison,Kansas
Nene,None
Nenad Krstic,None
Ndudi Ebi,None
Nazr Mohammed,Kentucky
Morris Peterson,Michigan State
Moochie Norris,West Florida
Mo Williams,Alabama
Milt Palacio,Colorado State
Mikki Moore,Nebraska
Mike Wilks,Rice
Mike Miller,Florida
Mike James,Duquesne
Mike Dunleavy,Duke
Mark Blount,Pittsburgh
Mario Kasun,None
Marcus Haislip,Tennessee
Marcus Fizer,Iowa State
Kyle Korver,Creighton
Kwame Brown,None
Kurt Thomas,Texas Christian
Kris Humphries,Minnesota
Kobe Bryant,None
Kirk Snyder,Nevada
Kirk Penney,Wisconsin
Kirk Hinrich,Kansas
Keyon Dooling,Missouri
Kevin Willis,Michigan State
Kevin Ollie,Connecticut
Kevin Martin,Western Carolina
Kevin Garnett,None
Kerry Kittles,Villanova
Kenyon Martin,Cincinnati
Kenny Thomas,New Mexico
Kenny Anderson,Georgia Tech
Kendrick Perkins,None
Kendall Gill,Illinois
Kelvin Cato,Iowa State
Keith Van Horn,Utah
Keith McLeod,Bowling Green
Kedrick Brown,Northwest Florida State
Kareem Rush,Missouri
Kaniel Dickens,Idaho
Lamar Odom,Rhode Island
Pavel Podkolzin,None
Lamond Murray,California
Larry Hughes,Saint Louis
Marcus Camby,Massachusetts
Marcus Banks,Nevada-Las Vegas
Marc Jackson,Temple
Manu Ginobili,None
Mamadou N'diaye,Auburn
Malik Rose,Drexel
Malik Allen,Villanova
Maciej Lampe,None
Luol Deng,Duke
Luke Walton,Arizona
Luke Ridnour,Oregon
Luke Jackson,Oregon
Luis Flores,Manhattan
Lucious Harris,Long Beach State
Lorenzen Wright,Memphis
Loren Woods,Arizona
Lonny Baxter,Maryland
Lionel Chalmers,Xavier
Linton Johnson,Tulane
Lindsey Hunter,Jackson State
Lee Nailon,Texas Christian
Leandro Barbosa,None
LeBron James,None
Lawrence Funderburke,Ohio State
Latrell Sprewell,Alabama
Laron Profit,Maryland
Peja Stojakovic,None
Peter John Ramos,None
Predrag Drobnjak,None
Travis Best,Georgia Tech
Tracy McGrady,None
Torraye Braggs,Xavier
Tony Parker,None
Tony Massenburg,Maryland
Tony Delk,Kentucky
Tony Bobbitt,Cincinnati
Tony Battie,Texas Tech
Tony Allen,Oklahoma State
Toni Kukoc,None
Tom Gugliotta,North Carolina State
Tim Thomas,Villanova
Tim Duncan,Wake Forest
Tierre Brown,McNeese State
Theron Smith,Ball State
Theo Ratliff,Wyoming
Tayshaun Prince,Kentucky
Tamar Slay,Marshall
Stromile Swift,Louisiana State
Steven Smith,Michigan State
Steven Hunter,DePaul
Steve Nash,Santa Clara
Steve Francis,Maryland
Steve Blake,Maryland
Stephon Marbury,Georgia Tech
Travis Outlaw,None
Stephen Jackson,Butler Community College
Tremaine Fowlkes,Fresno State
Trevor Ariza,UCLA
Zoran Planinic,None
Zendon Hamilton,St. John's (NY)
Zeljko Rebraca,None
Zaza Pachulia,None
Zarko Cabarkapa,None
Zach Randolph,Michigan State
Yuta Tabuse,Brigham Young-Hawaii
Yao Ming,None
Willie Green,Detroit Mercy
Wesley Person,Auburn
Wang Zhi-zhi,None
Walter McCarty,Kentucky
Wally Szczerbiak,Miami (OH)
Voshon Lenard,Minnesota
Vladimir Radmanovic,None
Vlade Divac,None
Vitaly Potapenko,Wright State
Vince Carter,North Carolina
Vin Baker,Hartford
Viktor Khryapa,None
Udonis Haslem,Florida
Tyson Chandler,None
Tyronn Lue,Nebraska
Troy Murphy,Notre Dame
Troy Hudson,Southern Illinois
Trenton Hassell,Austin Peay
Juwan Howard,Michigan
Stacey Augmon,Nevada-Las Vegas
Smush Parker,Fordham
Robert Swift,None
Robert Horry,Alabama
Ricky Davis,Iowa
Rick Brunson,Temple
Richie Frahm,Gonzaga
Richard Jefferson,Arizona
Richard Hamilton,Connecticut
Reggie Miller,UCLA
Reggie Evans,Iowa
Reece Gaines,Louisville
Ray Allen,Connecticut
Raul Lopez,None
Rasual Butler,La Salle
Rasho Nesterovic,None
Rasheed Wallace,North Carolina
Rashard Lewis,None
Randy Livingston,Louisiana State
Raja Bell,Florida International
Rafer Alston,Fresno State
Rafael Araujo,Brigham Young
Raef LaFrentz,Kansas
Qyntel Woods,Northeast Mississippi Community College
Quinton Ross,Southern Methodist
Quentin Richardson,DePaul
Primoz Brezec,None
Robert Traylor,Michigan
Speedy Claxton,Hofstra
Rod Strickland,DePaul
Rodney Rogers,Wake Forest
Slava Medvedenko,None
Shawn Marion,Nevada-Las Vegas
Shawn Bradley,Brigham Young
Shaun Livingston,None
Shareef Abdur-Rahim,California
Shaquille O'Neal,Louisiana State
Shane Battier,Duke
Shandon Anderson,Georgia
Sebastian Telfair,None
Sean Marks,California
Scott Williams,North Carolina
Scott Padgett,Kentucky
Scot Pollard,Kansas
Sasha Vujacic,None
Sasha Pavlovic,None
Samuel Dalembert,Seton Hall
Samaki Walker,Louisville
Sam Cassell,Florida State
Ryan Humphrey,Notre Dame
Ryan Bowen,Iowa
Ruben Patterson,Cincinnati
Royal Ivey,Texas
Ronald Dupree,Louisiana State
Ron Mercer,Kentucky
Rodney White,North Carolina-Charlotte
Rodney Buford,Creighton
Justin Reed,Mississippi
Junior Harrington,Wingate
Jumaine Jones,Georgia
Clar. Weatherspoon,Southern Mississippi
Chucky Atkins,South Florida
Christian Laettner,Duke
Chris Wilcox,Maryland
Chris Webber,Michigan
Chris Mihm,Texas
Chris Kaman,Central Michigan
Chris Duhon,Duke
Chris Bosh,Georgia Tech
Chris Andersen,Blinn
Chauncey Billups,Colorado
Charlie Ward,Florida State
Casey Jacobsen,Stanford
Caron Butler,Connecticut
Carmelo Anthony,Syracuse
Carlos Delfino,None
Carlos Boozer,Duke
Carlos Arroyo,Florida International
Calvin Booth,Penn State
Calbert Cheaney,Indiana
Bryon Russell,Long Beach State
Bruno Sundov,None
Bruce Bowen,Cal State-Fullerton
Britton Johnsen,Utah
Brian Skinner,Baylor
Clifford Robinson,Connecticut
Brian Scalabrine,Southern California
Corey Maggette,Duke
Corsley Edwards,Central Connecticut State
DeSagana Diop,None
David West,Xavier
David Wesley,Baylor
David Harrison,Colorado
Darvin Ham,Texas Tech
Darrick Martin,UCLA
Darrell Armstrong,Fayetteville State
Darko Milicic,None
Darius Songaila,Wake Forest
Darius Miles,None
Danny Fortson,Cincinnati
Daniel Santiago,Saint Vincent
Dan Gadzuric,UCLA
Dan Dickau,Gonzaga
Damone Brown,Syracuse
Damon Stoudamire,Arizona
Damon Jones,Houston
Damien Wilkins,Georgia
Dale Davis,Clemson
Dajuan Wagner,Memphis
Dahntay Jones,Duke
DJ Mbenga,None
Cuttino Mobley,Rhode Island
Curtis Borchardt,Stanford
Cory Alexander,Virginia
Corliss Williamson,Arkansas
DeShawn Stevenson,None
Brian Grant,Xavier
Brian Cardinal,Purdue
Anthony Johnson,College of Charleston
Anthony Goldwire,Houston
Anthony Carter,Hawaii
Antawn Jamison,North Carolina
Ansu Sesay,Mississippi
Anfernee Hardaway,Memphis
Andris Biedrins,None
Andrew DeClercq,Florida
Andres Nocioni,None
Andrei Kirilenko,None
Andre Miller,Utah
Andre Iguodala,Arizona
Andre Emmett,Texas Tech
Andre Barrett,Seton Hall
Anderson Varejao,None
Amar'e Stoudemire,None
Alonzo Mourning,Georgetown
Allen Iverson,Georgetown
Allan Houston,Tennessee
Alex Garcia,None
Aleksandar Radojevic,Barton Community College
Alan Henderson,Indiana
Al Jefferson,None
Al Harrington,None
Adrian Griffin,Seton Hall
Anthony Miller,Michigan State
Brian Cook,Illinois
Anthony Peeler,Missouri
Antonio Burks,Memphis
Brevin Knight,Stanford
Brent Barry,Oregon State
Brendan Haywood,North Carolina
Brandon Hunter,Ohio
Brandin Knight,Pittsburgh
Brad Miller,Purdue
Bostjan Nachbar,None
Boris Diaw,None
Bonzi Wells,Ball State
Bobby Simmons,DePaul
Bobby Jackson,Minnesota
Bob Sura,Florida State
Bo Outlaw,Houston
Billy Thomas,Kansas
Bernard Robinson,Michigan
Beno Udrih,None
Ben Wallace,Virginia Union
Ben Handlogten,Western Michigan
Ben Gordon,Connecticut
Baron Davis,UCLA
Awvee Storey,Arizona State
Austin Croshere,Providence
Antonio McDyess,Alabama
Antonio Davis,Texas-El Paso
Antonio Daniels,Bowling Green
Antoine Walker,Kentucky
Zydrunas Ilgauskas,None
Delonte West,Saint Joseph's
Derek Anderson,Kentucky
Jason Hart,Syracuse
Jason Collins,Stanford
Jason Collier,Georgia Tech
Jarvis Hayes,Georgia
Jarron Collins,Stanford
Jared Reiner,Iowa
Jared Jeffries,Indiana
Jannero Pargo,Arkansas
Jamison Brewer,Auburn
James Thomas,Texas
James Posey,Xavier
James Jones,Miami (FL)
Jameer Nelson,Saint Joseph's
Jamal Sampson,California
Jamal Crawford,Michigan
Jamaal Tinsley,Iowa State
Jamaal Magloire,Kentucky
Jalen Rose,Michigan
Jake Voskuhl,Connecticut
Jake Tsakalidis,None
Jahidi White,Georgetown
Jacque Vaughn,Kansas
Jackson Vroman,Iowa State
Jackie Butler,Southern Illinois
Jabari Smith,Louisiana State
Jason Kapono,UCLA
JR Smith,None
Jason Kidd,California
Jason Terry,Arizona
Juan Dixon,Maryland
Josh Smith,None
Josh Howard,Wake Forest
Josh Davis,Wyoming
Josh Childress,Stanford
Jonathan Bender,None
Jon Barry,Georgia Tech
John Thomas,Minnesota
John Salmons,Miami (FL)
John Edwards,Kent State
Joel Przybilla,Minnesota
Joe Smith,Maryland
Joe Johnson,Arkansas
Jiri Welsch,None
Jim Jackson,Ohio State
Jerry Stackhouse,North Carolina
Jerome Williams,Georgetown
Jerome Moiso,UCLA
Jerome James,Florida A&M
Jermaine O'Neal,None
Jermaine Jackson,Detroit Mercy
Jelani McCoy,UCLA
Jeff McInnis,North Carolina
Jeff Foster,Texas State
Jason Williams,Florida
Jason Richardson,Michigan State
DerMarr Johnson,Cincinnati
Ira Newble,Miami (OH)
Howard Eisley,Boston College
Eduardo Najera,Oklahoma
Eddy Curry,None
Eddie Jones,Temple
Eddie House,Arizona State
Eddie Griffin,Seton Hall
Eddie Gill,Weber State
Earl Watson,UCLA
Earl Boykins,Eastern Michigan
Dwyane Wade,Marquette
Dwight Howard,None
Drew Gooden,Kansas
Doug Christie,Pepperdine
Dorell Wright,None
Donyell Marshall,Connecticut
Donta Smith,Southeastern Illinois
Donnell Harvey,Florida
Dirk Nowitzki,None
Dion Glover,Georgia Tech
Dikembe Mutombo,Georgetown
Devin Harris,Wisconsin
Devin Brown,Texas-San Antonio
Devean George,Augsburg
Desmond Mason,Oklahoma State
Derrick Coleman,Syracuse
Derek Fisher,Arkansas-Little Rock
Elden Campbell,Clemson
Ibrahim Kutluay,None
Elton Brand,Duke
Eric Piatkowski,Nebraska
Horace Jenkins,William Paterson
Hedo Turkoglu,None
Ha Ha,Yonsei (KOR)
Greg Ostertag,Kansas
Greg Buckner,Clemson
Grant Hill,Duke
Gordan Giricek,None
Glenn Robinson,Purdue
Gilbert Arenas,Arizona
Gerald Wallace,Alabama
George Lynch,North Carolina
Geno Carlisle,California
Gary Payton,Oregon State
Fred Jones,Oregon
Fred Hoiberg,Iowa State
Frank Williams,Illinois
Francisco Elson,California
Flip Murray,Shaw
Etan Thomas,Syracuse
Ervin Johnson,New Orleans
Erik Daniels,Kentucky
Erick Strickland,Nebraska
Erick Dampier,Mississippi State
Eric Williams,Providence
Eric Snow,Michigan State
Emeka Okafor,Connecticut
Adonal Foyle,Colgate
Aaron Williams,Xavier
Delonte West,Saint Joseph's
Alan Henderson,Indiana
Eddie Griffin,Seton Hall
Eddie House,Arizona State
Eddie Jones,Temple
Eddy Curry,None
Eduardo Najera,Oklahoma
Elton Brand,Duke
Emeka Okafor,Connecticut
Eric Piatkowski,Nebraska
Eric Snow,Michigan State
Eric Williams,Providence
Alan Anderson,Michigan State
Erick Dampier,Mississippi State
Esteban Batista,None
Etan Thomas,Syracuse
Fabricio Oberto,None
Flip Murray,Shaw
Francisco Elson,California
Francisco Garcia,Louisville
Fred Jones,Oregon
Gary Payton,Oregon State
Gerald Fitch,Kentucky
Gerald Green,None
Gerald Wallace,Alabama
Ervin Johnson,New Orleans
Al Jefferson,None
Al Harrington,None
Adrian Griffin,Seton Hall
Andray Blatche,None
Anderson Varejao,None
Amir Johnson,None
Amar'e Stoudemire,None
Alvin Williams,Villanova
Alonzo Mourning,Georgetown
Allen Iverson,Georgetown
Alex Scales,Oregon
Alex Acker,Pepperdine
Donyell Marshall,Connecticut
Dorell Wright,None
Doug Christie,Pepperdine
Drew Gooden,Kansas
Dwayne Jones,Saint Joseph's
Dwight Howard,None
Dwyane Wade,Marquette
Earl Barron,Memphis
Earl Boykins,Eastern Michigan
Earl Watson,UCLA
Eddie Basden,North Carolina-Charlotte
Eddie Gill,Weber State
Aaron McKie,Temple
Aaron Miles,Kansas
Aaron Williams,Xavier
Adonal Foyle,Colgate
Gilbert Arenas,Arizona
Andre Barrett,Seton Hall
Gordan Giricek,None
Greg Buckner,Clemson
Jason Collins,Stanford
Jason Hart,Syracuse
Jason Kapono,UCLA
Jason Kidd,California
Jason Maxiell,Cincinnati
Jason Richardson,Michigan State
Jason Terry,Arizona
Jason Williams,Florida
Jeff Foster,Texas State
Jeff McInnis,North Carolina
Jermaine Jackson,Detroit Mercy
Jarvis Hayes,Georgia
Jermaine O'Neal,None
Jerry Stackhouse,North Carolina
Jim Jackson,Ohio State
Jiri Welsch,None
Joe Johnson,Arkansas
Joe Smith,Maryland
Dirk Nowitzki,None
Joey Graham,Oklahoma State
Johan Petro,None
John Edwards,Kent State
John Lucas III,Oklahoma State
John Salmons,Miami (FL)
Jerome James,Florida A&M
Jarron Collins,Stanford
Jarrett Jack,Georgia Tech
Jared Jeffries,Indiana
Greg Ostertag,Kansas
Ha Ha,Yonsei (KOR)
Hakim Warrick,Syracuse
Hedo Turkoglu,None
Howard Eisley,Boston College
Ike Diogu,Arizona State
Ime Udoka,Portland State
Ira Newble,Miami (OH)
JR Smith,None
Jackie Butler,Southern Illinois
Jackson Vroman,Iowa State
Jacque Vaughn,Kansas
Jake Tsakalidis,None
Jake Voskuhl,Connecticut
Jalen Rose,Michigan
Jamaal Magloire,Kentucky
Jamaal Tinsley,Iowa State
Jamal Crawford,Michigan
Jamal Sampson,California
Jameer Nelson,Saint Joseph's
James Jones,Miami (FL)
James Posey,Xavier
James Singleton,Murray State
James Thomas,Texas
Jannero Pargo,Arkansas
Grant Hill,Duke
Andre Iguodala,Arizona
Andre Miller,Utah
Andre Owens,Houston
Dan Dickau,Gonzaga
Damon Stoudamire,Arizona
Damon Jones,Houston
Damien Wilkins,Georgia
Dale Davis,Clemson
Dahntay Jones,Duke
DJ Mbenga,None
Cuttino Mobley,Rhode Island
Corliss Williamson,Arkansas
Corey Maggette,Duke
Clifford Robinson,Connecticut
Dan Gadzuric,UCLA
Chucky Atkins,South Florida
Chris Wilcox,Maryland
Chris Webber,Michigan
Chris Taft,Pittsburgh
Chris Paul,Wake Forest
Chris Mihm,Texas
Chris Kaman,Central Michigan
Chris Duhon,Duke
Chris Bosh,Georgia Tech
Chris Andersen,Blinn
Chauncey Billups,Colorado
Charlie Villanueva,Connecticut
Chuck Hayes,Kentucky
Daniel Ewing,Duke
Danny Fortson,Cincinnati
Danny Granger,New Mexico
Dikembe Mutombo,Georgetown
Dijon Thompson,UCLA
Devin Harris,Wisconsin
Devin Green,Hampton
Devin Brown,Texas-San Antonio
Devean George,Augsburg
Desmond Mason,Oklahoma State
Derrick Zimmerman,Mississippi State
Deron Williams,Illinois
Derek Fisher,Arkansas-Little Rock
Derek Anderson,Kentucky
DerMarr Johnson,Cincinnati
Deng Gai,Fairfield
Donta Smith,Southeastern Illinois
DeShawn Stevenson,None
DeSagana Diop,None
David West,Xavier
David Wesley,Baylor
David Lee,Florida
David Harrison,Colorado
Darrick Martin,UCLA
Darrell Armstrong,Fayetteville State
Darko Milicic,None
Darius Songaila,Wake Forest
Darius Miles,None
Charlie Bell,Michigan State
Charles Smith,New Mexico
Channing Frye,Arizona
Caron Butler,Connecticut
Beno Udrih,None
Ben Wallace,Virginia Union
Ben Gordon,Connecticut
Baron Davis,UCLA
Awvee Storey,Arizona State
Austin Croshere,Providence
Arvydas Macijauskas,None
Antonio McDyess,Alabama
Antonio Davis,Texas-El Paso
Antonio Daniels,Bowling Green
Antonio Burks,Memphis
Antoine Wright,Texas A&M
Antoine Walker,Kentucky
Anthony Roberson,Florida
Anthony Johnson,College of Charleston
Anthony Grundy,North Carolina State
Anthony Goldwire,Houston
Anthony Carter,Hawaii
Antawn Jamison,North Carolina
